,CCC,CCD,CCR,CDC,CDD,CDR,CRC,CRD,CRR,DCC,DCD,DCR,DDC,DDD,DDR,DRC,DRD,DRR,RCC,RCD,RCR,RDC,RDD,RDR,RRC,RRD,RRR
0,0.043,0.052,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.038,0.039,0.029,0.039,0.034,0.032,0.027,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.052,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.038,0.039,0.029,0.039,0.034,0.032,0.027,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.052,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.038,0.039,0.029,0.039,0.034,0.032,0.027,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.052,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.033,0.027,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.053,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.033,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.053,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.033,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.053,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.033,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.053,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.04,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.053,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.04,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.041,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.051,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.051,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.051,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.031,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.043,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.039,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.044,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.037
0,0.044,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.041,0.043,0.032,0.037,0.038,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.038
0,0.044,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.041,0.043,0.032,0.037,0.038,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.038
0,0.044,0.054,0.032,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.041,0.043,0.032,0.037,0.038,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.042,0.03,0.033,0.038
0,0.044,0.054,0.031,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.041,0.043,0.032,0.037,0.038,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.026,0.031,0.05,0.033,0.046,0.046,0.04,0.036,0.041,0.043,0.032,0.037,0.038,0.029,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.026,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.041,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
0,0.044,0.054,0.031,0.025,0.031,0.049,0.033,0.046,0.046,0.04,0.036,0.042,0.043,0.032,0.037,0.038,0.03,0.039,0.034,0.032,0.026,0.031,0.037,0.043,0.03,0.033,0.038
